FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
01/01/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,700,657,1029,1012,0,0,2475
01/01/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,800,1105,1055,0,0,2329
01/01/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,,850,,1,0,1069
01/01/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,722,1105,1159,0,0,2556
01/01/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2254,58,56,0,0,1182
01/02/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,814,1133,1134,0,0,2475
01/02/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,758,1105,1142,0,0,2329
01/02/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,544,850,843,0,0,1069
01/02/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658,1105,1042,0,0,2556
01/02/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,10,58,255,0,0,1182
01/03/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,800,753,1133,1055,0,0,2475
01/03/2022 00:00,AS,1,DCA,"Washington, DC",VA,38,SEA,"Seattle, WA",WA,93,800,756,1105,,1,0,2329
01/03/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,540,850,911,0,0,1069
01/03/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,658,1105,1040,0,0,2556
01/03/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2250,58,148,0,0,1182
01/04/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727,1104,1051,0,0,2475
01/04/2022 00:00,B6,1,JFK,"New York, NY",NY,22,FLL,"Fort Lauderdale, FL",FL,33,543,632,850,920,0,0,1069
01/04/2022 00:00,HA,1,LAX,"Los Angeles, CA",CA,91,HNL,"Honolulu, HI",HI,2,700,706,1105,1050,0,0,2556
01/04/2022 00:00,NK,1,FLL,"Fort Lauderdale, FL",FL,33,ORD,"Chicago, IL",IL,41,2240,2237,58,214,0,0,1182
01/05/2022 00:00,AA,1,JFK,"New York, NY",NY,22,LAX,"Los Angeles, CA",CA,91,730,727,1104,1036,0,0,2475
